name,description,category_parent,category_name,category_slug,tags,price,rarity,reality_type,status,catalog_version,generation_seed,danger,luxury,novelty,historical_value,technology_level,natural_significance,fantasy_level,space_affinity,power
Andromeda Galaxy,This real star & cosmic object combines space character with massive value and powerful appeal.,Space,Star & Cosmic Object,star-cosmic-object,space|massive|powerful|destructive|natural|dangerous,10420000000000000000000000,0.6467,real,available,synthetic_product_v1,42,0.8544,0.7822,0.8186,0.2602,0.1195,0.9436,0.2352,0.9244,1.0
Halley's Comet,"Halley's Comet is a real star & cosmic object selected for its space, massive, and powerful qualities.",Space,Star & Cosmic Object,star-cosmic-object,space|massive|powerful|destructive|luxury|unexplored,153500000000000000000000000,0.8549,real,available,synthetic_product_v1,42,0.9546,0.8545,0.9879,0.3557,0.1085,1.0,0.2334,1.0,1.0
Crimson Cosmic Object,"A singular star & cosmic object known for being space, massive, and unusually powerful.",Space,Star & Cosmic Object,star-cosmic-object,space|massive|powerful|destructive|mysterious|unexplored,22560000000000000000000000,0.7195,real,available,synthetic_product_v1,42,1.0,0.9307,0.8444,0.4374,0.0914,0.9306,0.2388,0.8839,1.0
Silent Cosmic Object,This real star & cosmic object combines space character with massive value and powerful appeal.,Space,Star & Cosmic Object,star-cosmic-object,space|massive|powerful|destructive|luxury|valuable,109200000000000000000000000,0.8967,real,available,synthetic_product_v1,42,0.8977,1.0,0.9846,0.3776,0.0194,0.9963,0.3078,0.9434,1.0
Golden Cosmic Object,"A singular star & cosmic object known for being space, massive, and unusually powerful.",Space,Star & Cosmic Object,star-cosmic-object,space|massive|powerful|destructive|valuable,37760000000000000000000000,0.8008,real,available,synthetic_product_v1,42,0.9658,0.9541,0.9521,0.4743,0.0153,0.9669,0.2184,1.0,1.0
Obsidian Cosmic Object,"A singular star & cosmic object known for being space, massive, and unusually powerful.",Space,Star & Cosmic Object,star-cosmic-object,space|massive|powerful|destructive|valuable|luxury,198700000000000000000000000,0.9883,real,available,synthetic_product_v1,42,1.0,1.0,0.9958,0.329,0.0284,1.0,0.1246,0.9733,0.9805
International Space Station,A legendary orbital laboratory with panoramic windows and zero gravity.,Space,Spacecraft,spacecraft,space|technology|scientific|exclusive|unexplored|artificial,30040000000000,0.6863,real,available,synthetic_product_v1,42,0.6196,0.7581,0.7816,0.583,0.9329,0.0,0.0851,1.0,0.6774
Apollo 11,"A singular spacecraft known for being space, technology, and unusually scientific.",Space,Spacecraft,spacecraft,space|technology|scientific|exclusive|artificial|unexplored,811300000000000,0.6781,real,available,synthetic_product_v1,42,0.7329,0.7626,0.759,0.6108,1.0,0.0659,0.167,0.9692,0.7897
Voyager 1,"A singular spacecraft known for being space, technology, and unusually scientific.",Space,Spacecraft,spacecraft,space|technology|scientific|exclusive|luxury,159800000000000,0.6593,speculative,coming_soon,synthetic_product_v1,42,0.5908,0.8579,0.7659,0.5628,0.8348,0.1066,0.1384,1.0,0.7301
Crimson Starship,"Crimson Starship is a real spacecraft selected for its space, technology, and scientific qualities.",Space,Spacecraft,spacecraft,space|technology|scientific|exclusive|valuable,63990000000000,0.598,real,available,synthetic_product_v1,42,0.7441,0.8398,0.7443,0.6429,0.7906,0.0844,0.0606,0.9963,0.6978
Silent Starship,"Silent Starship is a real spacecraft selected for its space, technology, and scientific qualities.",Space,Spacecraft,spacecraft,space|technology|scientific|exclusive|unexplored,497700000000000,0.7251,real,available,synthetic_product_v1,42,0.6671,0.9465,0.8139,0.6642,1.0,0.1182,0.187,0.9681,0.7505
Golden Starship,"A singular spacecraft known for being space, technology, and unusually scientific.",Space,Spacecraft,spacecraft,space|technology|scientific|exclusive|dangerous,347800000000000,0.7939,speculative,available,synthetic_product_v1,42,0.8293,0.868,0.8157,0.5648,0.9544,0.0855,0.0656,1.0,0.6029
Obsidian Starship,This real spacecraft combines space character with technology value and scientific appeal.,Space,Spacecraft,spacecraft,space|technology|scientific|exclusive|artificial,303300000000000,0.7957,real,available,synthetic_product_v1,42,0.8259,0.6981,0.7691,0.7351,0.8676,0.0322,0.142,0.9857,0.7732
Luminous Starship,This speculative spacecraft combines space character with technology value and scientific appeal.,Space,Spacecraft,spacecraft,space|technology|scientific|exclusive,172500000000000,0.7727,speculative,unavailable,synthetic_product_v1,42,0.7031,0.8374,0.8515,0.6659,0.9307,0.1053,0.1507,1.0,0.6661
Roman Empire,A vast historical civilization supplied with roads and administrative overhead.,History,Empire & Nation,empire-nation,historic|cultural|powerful|massive|exclusive|valuable,74130000000000000000000,0.7005,historical,available,synthetic_product_v1,42,0.7494,0.8156,0.742,1.0,0.2621,0.3066,0.2717,0.023,0.9234
Byzantine Empire,"Byzantine Empire is a historical empire & nation selected for its historic, cultural, and powerful qualities.",History,Empire & Nation,empire-nation,historic|cultural|powerful|massive|exclusive,768700000000000000000,0.5599,historical,available,synthetic_product_v1,42,0.7207,0.758,0.6774,1.0,0.2997,0.3977,0.2185,0.0529,0.8768
Kingdom of Kush,"A singular empire & nation known for being historic, cultural, and unusually powerful.",History,Empire & Nation,empire-nation,historic|cultural|powerful|massive|valuable,67810000000000000000000,0.7904,historical,available,synthetic_product_v1,42,0.6846,0.9125,0.7368,1.0,0.3356,0.4567,0.1042,0.0527,0.8609
Crimson Lost Realm,This historical empire & nation combines historic character with cultural value and powerful appeal.,History,Empire & Nation,empire-nation,historic|cultural|powerful|massive|luxury|exclusive,49380000000000000000000,0.7965,historical,available,synthetic_product_v1,42,0.6589,1.0,0.7509,0.9789,0.3051,0.3099,0.1895,0.0,0.9507
Silent Lost Realm,"A singular empire & nation known for being historic, cultural, and unusually powerful.",History,Empire & Nation,empire-nation,historic|cultural|powerful|massive|luxury,18860000000000000000000,0.7444,historical,available,synthetic_product_v1,42,0.7127,0.8696,0.7948,1.0,0.2728,0.3907,0.3435,0.043,0.9185
Golden Lost Realm,"A singular empire & nation known for being historic, cultural, and unusually powerful.",History,Empire & Nation,empire-nation,historic|cultural|powerful|massive|destructive|exclusive,8130000000000000000000,0.827,historical,available,synthetic_product_v1,42,0.8322,0.7908,0.848,0.8665,0.2931,0.4343,0.1606,0.0667,0.8848
Obsidian Lost Realm,"Obsidian Lost Realm is a real empire & nation selected for its historic, cultural, and powerful qualities.",History,Empire & Nation,empire-nation,historic|cultural|powerful|massive|luxury,4007000000000000000000,0.6663,real,available,synthetic_product_v1,42,0.6729,0.8739,0.695,1.0,0.3378,0.4931,0.1573,0.0293,0.9531
Luminous Lost Realm,This historical empire & nation combines historic character with cultural value and powerful appeal.,History,Empire & Nation,empire-nation,historic|cultural|powerful|massive|valuable,75990000000000000000000,0.7395,historical,unavailable,synthetic_product_v1,42,0.7488,0.9904,0.6534,0.9261,0.3291,0.2997,0.2278,0.0,1.0
Forgotten Lost Realm,"A singular empire & nation known for being historic, cultural, and unusually powerful.",History,Empire & Nation,empire-nation,historic|cultural|powerful|massive|valuable,15650000000000000000000,0.594,historical,available,synthetic_product_v1,42,0.7086,0.9388,0.7286,0.8924,0.3122,0.3874,0.2835,0.0883,1.0
Celestial Lost Realm,"A singular empire & nation known for being historic, cultural, and unusually powerful.",History,Empire & Nation,empire-nation,historic|cultural|powerful|massive|exclusive|luxury,73300000000000000000000,0.8316,historical,sold_out,synthetic_product_v1,42,0.7386,0.9155,0.6981,0.9742,0.3258,0.3176,0.1837,0.0605,0.9117
Rosetta Stone,"Rosetta Stone is a historical historical artifact selected for its historic, collectible, and rare qualities.",History,Historical Artifact,historical-artifact,historic|collectible|rare|valuable|luxury,858700000000,0.762,historical,sold_out,synthetic_product_v1,42,0.2567,0.8742,0.8585,0.9568,0.2308,0.3295,0.3901,0.1201,0.7046
Antikythera Mechanism,"Antikythera Mechanism is a historical historical artifact selected for its historic, collectible, and rare qualities.",History,Historical Artifact,historical-artifact,historic|collectible|rare|valuable|cultural,115100000000,0.6525,historical,available,synthetic_product_v1,42,0.4344,0.6682,0.7077,0.9497,0.4223,0.2216,0.2063,0.0,0.6102
Crown of Charlemagne,This historical historical artifact combines historic character with collectible value and rare appeal.,History,Historical Artifact,historical-artifact,historic|collectible|rare|valuable|cultural|luxury,597300000000,0.5811,historical,available,synthetic_product_v1,42,0.3026,0.8123,0.7408,0.9315,0.2045,0.1567,0.183,0.0,0.5527
Crimson Ancient Relic,"Crimson Ancient Relic is a historical historical artifact selected for its historic, collectible, and rare qualities.",History,Historical Artifact,historical-artifact,historic|collectible|rare|valuable|cultural|luxury,5182000000000,0.8414,historical,available,synthetic_product_v1,42,0.4548,0.8188,0.8597,1.0,0.3588,0.2943,0.2065,0.0,0.6494
Silent Ancient Relic,"Silent Ancient Relic is a real historical artifact selected for its historic, collectible, and rare qualities.",History,Historical Artifact,historical-artifact,historic|collectible|rare|valuable|mysterious|cultural,231300000000,0.7801,real,available,synthetic_product_v1,42,0.4166,0.7697,0.9686,0.9786,0.2709,0.1916,0.2528,0.0395,0.5803
Golden Ancient Relic,"A singular historical artifact known for being historic, collectible, and unusually rare.",History,Historical Artifact,historical-artifact,historic|collectible|rare|valuable|cultural,163400000000,0.6382,historical,available,synthetic_product_v1,42,0.2846,0.7362,0.6938,0.958,0.3287,0.1946,0.1761,0.0,0.6725
Obsidian Ancient Relic,"A singular historical artifact known for being historic, collectible, and unusually rare.",History,Historical Artifact,historical-artifact,historic|collectible|rare|valuable|luxury,709000000000,0.6472,historical,available,synthetic_product_v1,42,0.3854,0.8817,0.7373,0.9849,0.1406,0.365,0.2233,0.0,0.5607
Luminous Ancient Relic,This historical historical artifact combines historic character with collectible value and rare appeal.,History,Historical Artifact,historical-artifact,historic|collectible|rare|valuable|cultural|mysterious,386900000000,0.6917,historical,available,synthetic_product_v1,42,0.3628,0.7006,0.8555,1.0,0.2266,0.2179,0.1751,0.1107,0.6415
Forgotten Ancient Relic,"Forgotten Ancient Relic is a historical historical artifact selected for its historic, collectible, and rare qualities.",History,Historical Artifact,historical-artifact,historic|collectible|rare|valuable|luxury|cultural,2188000000000,0.7882,historical,available,synthetic_product_v1,42,0.3389,0.8423,0.8111,0.9527,0.3089,0.3096,0.3505,0.0962,0.6621
Celestial Ancient Relic,"A singular historical artifact known for being historic, collectible, and unusually rare.",History,Historical Artifact,historical-artifact,historic|collectible|rare|valuable|luxury|cultural,864900000000,0.7178,historical,available,synthetic_product_v1,42,0.3437,0.8594,0.7701,1.0,0.2243,0.178,0.3391,0.0402,0.6439
Great Pyramid,"A singular monument & architecture known for being historic, cultural, and unusually massive.",History,Monument & Architecture,monument-architecture,historic|cultural|massive|beautiful,2792000000000000,0.6641,real,available,synthetic_product_v1,42,0.2637,0.7732,0.7096,0.9987,0.2682,0.4435,0.1771,0.0,0.7287
Colosseum,"Colosseum is a historical monument & architecture selected for its historic, cultural, and massive qualities.",History,Monument & Architecture,monument-architecture,historic|cultural|massive|beautiful|luxury|valuable,1662000000000000,0.6086,historical,available,synthetic_product_v1,42,0.2639,0.8335,0.5816,0.9962,0.2161,0.4701,0.1771,0.0,0.7393
Hanging Gardens,This historical monument & architecture combines historic character with cultural value and massive appeal.,History,Monument & Architecture,monument-architecture,historic|cultural|massive|beautiful,3003000000000000,0.6752,historical,available,synthetic_product_v1,42,0.3068,0.7747,0.6623,0.8469,0.2655,0.5195,0.158,0.1086,0.7354
Crimson Monument,This historical monument & architecture combines historic character with cultural value and massive appeal.,History,Monument & Architecture,monument-architecture,historic|cultural|massive|beautiful|valuable,30990000000000000,0.7984,historical,available,synthetic_product_v1,42,0.411,0.8215,0.582,0.9731,0.2649,0.3523,0.1946,0.0261,0.8246
Silent Monument,This historical monument & architecture combines historic character with cultural value and massive appeal.,History,Monument & Architecture,monument-architecture,historic|cultural|massive|beautiful,11190000000000000,0.7369,historical,available,synthetic_product_v1,42,0.3136,0.8254,0.6682,0.9393,0.2368,0.5047,0.2115,0.0969,0.842
Golden Monument,"Golden Monument is a historical monument & architecture selected for its historic, cultural, and massive qualities.",History,Monument & Architecture,monument-architecture,historic|cultural|massive|beautiful,3463000000000000,0.6804,historical,available,synthetic_product_v1,42,0.3181,0.747,0.6085,0.8797,0.1825,0.3665,0.1189,0.0,0.7163
Obsidian Monument,This historical monument & architecture combines historic character with cultural value and massive appeal.,History,Monument & Architecture,monument-architecture,historic|cultural|massive|beautiful,885000000000000,0.6688,historical,available,synthetic_product_v1,42,0.3075,0.7887,0.6208,0.971,0.2391,0.438,0.1489,0.0048,0.748
Luminous Monument,This historical monument & architecture combines historic character with cultural value and massive appeal.,History,Monument & Architecture,monument-architecture,historic|cultural|massive|beautiful|luxury,31320000000000000,0.7368,historical,coming_soon,synthetic_product_v1,42,0.1734,0.9109,0.7403,0.9755,0.2582,0.386,0.1739,0.0,0.7581
Forgotten Monument,"Forgotten Monument is a historical monument & architecture selected for its historic, cultural, and massive qualities.",History,Monument & Architecture,monument-architecture,historic|cultural|massive|beautiful|valuable,25240000000000000,0.7374,historical,available,synthetic_product_v1,42,0.1539,0.8581,0.7126,0.9684,0.2434,0.4453,0.1358,0.0925,0.8325
Celestial Monument,"A singular monument & architecture known for being historic, cultural, and unusually massive.",History,Monument & Architecture,monument-architecture,historic|cultural|massive|beautiful|luxury|valuable,16280000000000000,0.7611,historical,available,synthetic_product_v1,42,0.3082,0.8604,0.7325,0.9201,0.1971,0.3646,0.2145,0.0,0.8281
Tyrannosaurus Rex,A reconstructed apex predator requiring a very sturdy enclosure.,Creatures,Extinct Creature,extinct-creature,prehistoric|natural|dangerous|rare|cultural|destructive,12750000000,0.6519,historical,available,synthetic_product_v1,42,0.91,0.5588,0.8471,0.9542,0.0,0.867,0.1744,0.0,0.7272
Dodo,This historical extinct creature combines prehistoric character with natural value and dangerous appeal.,Creatures,Extinct Creature,extinct-creature,prehistoric|natural|dangerous|rare|mysterious|destructive,11580000000,0.7182,historical,available,synthetic_product_v1,42,0.9342,0.5181,0.8979,0.709,0.0412,0.8887,0.235,0.0501,0.5916
Woolly Mammoth,"A singular extinct creature known for being prehistoric, natural, and unusually dangerous.",Creatures,Extinct Creature,extinct-creature,prehistoric|natural|dangerous|rare|mysterious,5823000000,0.6456,historical,available,synthetic_product_v1,42,0.7911,0.554,0.9044,0.7792,0.1245,0.9116,0.09,0.0,0.7601
Crimson Extinct Beast,This historical extinct creature combines prehistoric character with natural value and dangerous appeal.,Creatures,Extinct Creature,extinct-creature,prehistoric|natural|dangerous|rare|destructive,11570000000,0.6892,historical,sold_out,synthetic_product_v1,42,0.8671,0.6146,0.9325,0.9106,0.0646,0.9284,0.241,0.028,0.696
Silent Extinct Beast,"A singular extinct creature known for being prehistoric, natural, and unusually dangerous.",Creatures,Extinct Creature,extinct-creature,prehistoric|natural|dangerous|rare|destructive,33760000000,0.8543,historical,available,synthetic_product_v1,42,0.9136,0.5689,1.0,0.9343,0.0,1.0,0.11,0.0,0.701
Golden Extinct Beast,"Golden Extinct Beast is a historical extinct creature selected for its prehistoric, natural, and dangerous qualities.",Creatures,Extinct Creature,extinct-creature,prehistoric|natural|dangerous|rare,4076000000,0.6592,historical,available,synthetic_product_v1,42,0.8808,0.5101,0.857,0.8101,0.1229,0.9125,0.1824,0.1,0.5652
Obsidian Extinct Beast,"Obsidian Extinct Beast is a historical extinct creature selected for its prehistoric, natural, and dangerous qualities.",Creatures,Extinct Creature,extinct-creature,prehistoric|natural|dangerous|rare|destructive,4491000000,0.7307,historical,available,synthetic_product_v1,42,0.8769,0.6088,0.9308,0.735,0.0,0.8429,0.143,0.0,0.6076
Luminous Extinct Beast,This real extinct creature combines prehistoric character with natural value and dangerous appeal.,Creatures,Extinct Creature,extinct-creature,prehistoric|natural|dangerous|rare|cultural|mysterious,14920000000,0.6825,real,available,synthetic_product_v1,42,0.9929,0.657,1.0,0.8806,0.095,0.9684,0.0748,0.0,0.6737
Forgotten Extinct Beast,"A singular extinct creature known for being prehistoric, natural, and unusually dangerous.",Creatures,Extinct Creature,extinct-creature,prehistoric|natural|dangerous|rare|cultural|mysterious,4067000000,0.6032,real,available,synthetic_product_v1,42,0.9142,0.5136,0.8382,0.8755,0.0286,0.9072,0.1,0.0183,0.6993
Phoenix,This fictional mythical creature combines fantasy character with legendary value and powerful appeal.,Creatures,Mythical Creature,mythical-creature,fantasy|legendary|powerful|mysterious|exclusive,553500000000,0.8653,fictional,sold_out,synthetic_product_v1,42,0.8626,0.6913,1.0,0.7671,0.0748,0.5112,0.9663,0.1,0.9931
Dragon,"A singular mythical creature known for being fantasy, legendary, and unusually powerful.",Creatures,Mythical Creature,mythical-creature,fantasy|legendary|powerful|mysterious|exclusive|rare,571100000000,0.8204,fictional,available,synthetic_product_v1,42,0.8919,0.8057,1.0,0.6348,0.0425,0.5182,1.0,0.1036,0.8523
Kraken,"A singular mythical creature known for being fantasy, legendary, and unusually powerful.",Creatures,Mythical Creature,mythical-creature,fantasy|legendary|powerful|mysterious|exclusive|dangerous,387100000000,0.7375,fictional,sold_out,synthetic_product_v1,42,0.8165,0.7304,0.9318,0.6764,0.1009,0.4954,1.0,0.0001,0.8684
Crimson Mythical Creature,"Crimson Mythical Creature is a fictional mythical creature selected for its fantasy, legendary, and powerful qualities.",Creatures,Mythical Creature,mythical-creature,fantasy|legendary|powerful|mysterious|exclusive,145900000000,0.7815,fictional,available,synthetic_product_v1,42,0.9642,0.7976,0.9194,0.6501,0.0426,0.4373,0.9894,0.0471,0.9606
Silent Mythical Creature,This fictional mythical creature combines fantasy character with legendary value and powerful appeal.,Creatures,Mythical Creature,mythical-creature,fantasy|legendary|powerful|mysterious|rare,559300000000,0.7987,fictional,available,synthetic_product_v1,42,0.7122,0.7497,1.0,0.6643,0.042,0.4902,0.9091,0.1143,0.795
Golden Mythical Creature,"A singular mythical creature known for being fantasy, legendary, and unusually powerful.",Creatures,Mythical Creature,mythical-creature,fantasy|legendary|powerful|mysterious|rare|dangerous,965000000000,0.7682,fictional,available,synthetic_product_v1,42,0.8091,0.7555,1.0,0.7273,0.1167,0.4938,1.0,0.2098,0.9426
Obsidian Mythical Creature,"Obsidian Mythical Creature is a fictional mythical creature selected for its fantasy, legendary, and powerful qualities.",Creatures,Mythical Creature,mythical-creature,fantasy|legendary|powerful|mysterious,2547000000000,0.828,fictional,available,synthetic_product_v1,42,0.8345,0.721,0.9569,0.6713,0.0337,0.4434,1.0,0.157,0.884
Luminous Mythical Creature,This fictional mythical creature combines fantasy character with legendary value and powerful appeal.,Creatures,Mythical Creature,mythical-creature,fantasy|legendary|powerful|mysterious|destructive,257700000000,0.8245,fictional,available,synthetic_product_v1,42,0.7951,0.7339,1.0,0.6961,0.0693,0.5828,0.9111,0.1445,0.8886
Immortal Jellyfish,"Immortal Jellyfish is a real extraordinary animal selected for its natural, rare, and beautiful qualities.",Creatures,Extraordinary Animal,extraordinary-animal,natural|rare|beautiful|powerful|mysterious,357300000,0.6452,real,available,synthetic_product_v1,42,0.5049,0.7055,0.8695,0.3534,0.083,1.0,0.2963,0.0,0.6975
Giant Blue Whale,This speculative extraordinary animal combines natural character with rare value and beautiful appeal.,Creatures,Extraordinary Animal,extraordinary-animal,natural|rare|beautiful|powerful,21060000,0.7134,speculative,available,synthetic_product_v1,42,0.5786,0.6142,0.7245,0.4063,0.1001,0.9819,0.2431,0.0,0.5867
White Lion,This real extraordinary animal combines natural character with rare value and beautiful appeal.,Creatures,Extraordinary Animal,extraordinary-animal,natural|rare|beautiful|powerful|mysterious,1639000000,0.852,real,unavailable,synthetic_product_v1,42,0.7222,0.6179,0.9412,0.3168,0.1018,0.9929,0.1931,0.0567,0.6081
Crimson Extraordinary Animal,This real extraordinary animal combines natural character with rare value and beautiful appeal.,Creatures,Extraordinary Animal,extraordinary-animal,natural|rare|beautiful|powerful,410400000,0.7191,real,available,synthetic_product_v1,42,0.6362,0.7031,0.8561,0.4354,0.0876,0.9117,0.2201,0.0354,0.7647
Silent Extraordinary Animal,"A singular extraordinary animal known for being natural, rare, and unusually beautiful.",Creatures,Extraordinary Animal,extraordinary-animal,natural|rare|beautiful|powerful,266600000,0.6764,real,available,synthetic_product_v1,42,0.736,0.5652,0.7715,0.3979,0.1288,1.0,0.2497,0.0,0.6321
Golden Extraordinary Animal,"A singular extraordinary animal known for being natural, rare, and unusually beautiful.",Creatures,Extraordinary Animal,extraordinary-animal,natural|rare|beautiful|powerful|mysterious,926000000,0.7352,real,available,synthetic_product_v1,42,0.5733,0.6667,0.8846,0.4382,0.0179,0.9226,0.2538,0.0,0.5192
Obsidian Extraordinary Animal,This real extraordinary animal combines natural character with rare value and beautiful appeal.,Creatures,Extraordinary Animal,extraordinary-animal,natural|rare|beautiful|powerful,645200000,0.6716,real,available,synthetic_product_v1,42,0.6315,0.7244,0.7745,0.3444,0.1257,1.0,0.4035,0.0,0.74
Luminous Extraordinary Animal,"Luminous Extraordinary Animal is a real extraordinary animal selected for its natural, rare, and beautiful qualities.",Creatures,Extraordinary Animal,extraordinary-animal,natural|rare|beautiful|powerful,1055000000,0.7322,real,available,synthetic_product_v1,42,0.704,0.7286,0.7837,0.2629,0.146,0.88,0.2571,0.0,0.7393
Time Machine,A prototype temporal vehicle whose warranty begins before purchase.,Technology,Impossible Technology,impossible-technology,technology|impossible|powerful|mysterious|valuable|exclusive,52990000000000,0.7935,speculative,available,synthetic_product_v1,42,0.6329,0.851,0.9415,0.2625,0.9615,0.1219,0.6299,0.2833,0.907
Teleportation Device,"Teleportation Device is a fictional impossible technology selected for its technology, impossible, and powerful qualities.",Technology,Impossible Technology,impossible-technology,technology|impossible|powerful|mysterious,199200000000000,0.8696,fictional,available,synthetic_product_v1,42,0.7367,0.8564,1.0,0.2955,0.9116,0.1153,0.6193,0.2471,1.0
Matter Replicator,This fictional impossible technology combines technology character with impossible value and powerful appeal.,Technology,Impossible Technology,impossible-technology,technology|impossible|powerful|mysterious|artificial|valuable,141500000000000,0.7536,fictional,available,synthetic_product_v1,42,0.5604,0.8924,0.9585,0.4164,1.0,0.0,0.6777,0.2218,1.0
Crimson Impossible Device,This speculative impossible technology combines technology character with impossible value and powerful appeal.,Technology,Impossible Technology,impossible-technology,technology|impossible|powerful|mysterious|artificial|valuable,58380000000000,0.8374,speculative,available,synthetic_product_v1,42,0.6751,0.8529,1.0,0.3016,1.0,0.088,0.6061,0.2993,1.0
Silent Impossible Device,"A singular impossible technology known for being technology, impossible, and unusually powerful.",Technology,Impossible Technology,impossible-technology,technology|impossible|powerful|mysterious|valuable,103100000000000,0.8252,fictional,sold_out,synthetic_product_v1,42,0.6704,0.9643,0.9899,0.3165,0.9432,0.1511,0.6092,0.2744,1.0
Golden Impossible Device,"A singular impossible technology known for being technology, impossible, and unusually powerful.",Technology,Impossible Technology,impossible-technology,technology|impossible|powerful|mysterious|artificial|scientific,350800000000000,0.9895,speculative,available,synthetic_product_v1,42,0.8038,1.0,0.9963,0.2453,0.937,0.1545,0.55,0.2294,0.9632
Obsidian Impossible Device,This speculative impossible technology combines technology character with impossible value and powerful appeal.,Technology,Impossible Technology,impossible-technology,technology|impossible|powerful|mysterious|exclusive|rare,83630000000000,0.7642,speculative,available,synthetic_product_v1,42,0.7804,0.809,0.9148,0.3588,1.0,0.2051,0.6812,0.2598,1.0
